tweet_id,favorites,retweet_count
870726314365509632,114,3
870656317836468226,11645,2437
870374049280663552,78352,24478
870308999962521604,20686,3837
870063196459192321,34481,7685
869772420881756160,40208,9359
869702957897576449,26667,5838
869596645499047938,15086,2894
869227993411051520,19305,3497
868880397819494401,61870,13388
868639477480148993,0,1930
868622495443632128,25241,4915
868552278524837888,9547,1930
867900495410671616,22922,3884
867774946302451713,32167,6839
867421006826221569,15230,2316
867072653475098625,0,112
867051520902168576,30561,7339
866720684873056260,19003,4474
866686824827068416,18301,3254
866450705531457537,116025,32831
866334964761202691,49765,13303
866094527597207552,0,7824
865718153858494464,24382,5251
865359393868664832,25146,4682
865006731092295680,26642,7200
864873206498414592,30684,8130
864279568663928832,13867,2830
864197398364647424,28538,8295
863907417377173506,19615,3881
863553081350529029,14549,3926
863471782782697472,0,2282
863432100342583297,22661,4930
863427515083354112,2100,89
863079547188785154,8365,1041
863062471531167744,8059,2282
862831371563274240,18299,4842
862722525377298433,16326,3324
862457590147678208,19513,4638
862096992088072192,70853,21769
861383897657036800,34453,10084
861288531465048066,16399,3902
861005113778896900,15954,3595
860981674716409858,0,2022
860924035999428608,0,754
860563773140209665,7161,2022
860524505164394496,22628,5012
860276583193509888,17584,3316
860184849394610176,15971,5523
860177593139703809,0,29253
859924526012018688,18756,3880
859851578198683649,14790,3322
859607811541651456,17847,1486
859196978902773760,86072,28565
859074603037188101,32435,12931
858860390427611136,0,7693
858843525470990336,14982,3309
858471635011153920,20683,4618
858107933456039936,15146,2761
857989990357356544,15486,2474
857746408056729600,32971,10120
857393404942143489,5671,1569
857263160327368704,19321,4310
857214891891077121,216,17
857062103051644929,0,162
857029823797047296,18177,3800
856543823941562368,15754,2762
856526610513747968,11465,1796
856330835276025856,0,640
856288084350160898,495,15
856282028240666624,26806,6027
855862651834028034,325,25
855860136149123072,4747,936
855857698524602368,11494,2024
855851453814013952,44287,17299
855818117272018944,25819,5212
855459453768019968,28893,7901
855245323840757760,0,5730
855138241867124737,0,43
854732716440526848,22076,5844
854482394044301312,28440,6619
854365224396361728,18355,4525
854120357044912130,31109,7198
854010172552949760,15787,3048
853760880890318849,27808,5551
853639147608842240,33753,9714
853299958564483072,15101,3449
852936405516943360,0,1934
852912242202992640,8808,1757
852672615818899456,14552,2097
